patch,Annie,Olaf,Galio,TwistedFate,XinZhao,Urgot,Leblanc,Vladimir,Fiddlesticks,Kayle,MasterYi,Alistar,Ryze,Sion,Sivir,Soraka,Teemo,Tristana,Warwick,Nunu,MissFortune,Ashe,Tryndamere,Jax,Morgana,Zilean,Singed,Evelynn,Twitch,Karthus,Chogath,Amumu,Rammus,Anivia,Shaco,DrMundo,Sona,Kassadin,Irelia,Janna,Gangplank,Corki,Karma,Taric,Veigar,Trundle,Swain,Caitlyn,Blitzcrank,Malphite,Katarina,Nocturne,Maokai,Renekton,JarvanIV,Elise,Orianna,Wukong,Brand,LeeSin,Vayne,Rumble,Cassiopeia,Skarner,Heimerdinger,Nasus,Nidalee,Udyr,Poppy,Gragas,Pantheon,Ezreal,Mordekaiser,Yorick,Akali,Kennen,Garen,Leona,Malzahar,Talon,Riven,KogMaw,Shen,Lux,Xerath,Shyvana,Ahri,Graves,Fizz,Volibear,Rengar,Varus,Nautilus,Viktor,Sejuani,Fiora,Ziggs,Lulu,Draven,Hecarim,Khazix,Darius,Jayce,Lissandra,Diana,Quinn,Syndra,AurelionSol,Kayn,Zoe,Zyra,Kaisa,Seraphine,Gnar,Zac,Yasuo,Velkoz,Taliyah,Camille,Akshan,Belveth,Braum,Jhin,Kindred,Zeri,Jinx,TahmKench,Viego,Senna,Lucian,Zed,Kled,Ekko,Qiyana,Vi,Aatrox,Nami,Azir,Yuumi,Samira,Thresh,Illaoi,RekSai,Ivern,Kalista,Bard,Rakan,Xayah,Ornn,Sylas,Neeko,Aphelios,Rell,Pyke,Vex,Yone,Sett,Lillia,Gwen,RenataGlasc,Nilah,KSante,Milio,Date
1.0.0.119,2.0,,,18.0,,,,14.0,,,,12.0,,,,1.0,,,3.0,9.0,,2.0,,,,5.0,2.0,,,3.0,,8.0,,5.0,,,3.0,,3.0,1.0,,5.0,,3.0,,,,,,,,3.0,,,7.0,,,,,,12.0,21.0,,,,,15.0,,,3.0,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-01
1.0.0.132,,,2.0,,,,4.0,1.0,,,,,9.0,,1.0,3.0,,,,5.0,,,4.0,,8.0,,,,,19.0,,,21.0,,5.0,,3.0,8.0,2.0,,3.0,,,,1.0,,,,,,,2.0,3.0,,,,,,,3.0,2.0,1.0,13.0,4.0,,,2.0,,,3.0,,,,3.0,,8.0,,,,,2.0,,,,,1.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-17
1.0.0.133,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,1.0,,6.0,,1.0,,2.0,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,2.0,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-01
1.0.0.134,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-14
1.0.0.135,,,5.0,10.0,,2.0,1.0,5.0,,,,5.0,22.0,1.0,,,,,,2.0,,3.0,,,12.0,1.0,,,,19.0,,,13.0,1.0,,5.0,1.0,1.0,20.0,5.0,6.0,,,,,,,,,,,4.0,6.0,,,,1.0,,,5.0,,1.0,21.0,,,,5.0,10.0,,,,,3.0,1.0,1.0,9.0,,,,,2.0,2.0,31.0,,,18.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-29
1.0.0.136,1.0,1.0,1.0,5.0,,2.0,,1.0,,,,4.0,5.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,4.0,4.0,2.0,2.0,1.0,9.0,2.0,3.0,,1.0,,,2.0,,,,,,,,1.0,,2.0,,,,,8.0,1.0,2.0,3.0,1.0,,,7.0,,,,2.0,,1.0,,,7.0,,1.0,,1.0,,1.0,18.0,,,5.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-20
1.0.0.138,,,,,,2.0,,1.0,,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,4.0,,,,,,,,,,2.0,,,,2.0,,,1.0,,,,,4.0,,,2.0,,,,4.0,,,,,,,,,5.0,,,,,,,7.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-18
1.0.0.139,,2.0,1.0,4.0,,4.0,,3.0,,,,,2.0,,,2.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,4.0,,5.0,,4.0,,,,,,,,,,,,7.0,,,,,,,,4.0,,,,1.0,,,,2.0,,,,,,,,7.0,,,,,,,13.0,,,,4.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-01
1.0.0.141,,3.0,,10.0,1.0,18.0,1.0,4.0,,1.0,,1.0,2.0,,,2.0,,,,,,1.0,,,3.0,,1.0,,,9.0,,,,5.0,,,,1.0,3.0,,,1.0,,,,,,,1.0,,,9.0,1.0,,,,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,3.0,,1.0,,,,,,1.0,13.0,,,,8.0,1.0,,,,,13.0,,,,,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-17
1.0.0.142,,,,1.0,,7.0,,5.0,,,,5.0,3.0,,,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,6.0,,,,5.0,3.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-07
