patch,Annie,Olaf,Galio,TwistedFate,XinZhao,Urgot,Leblanc,Vladimir,Fiddlesticks,Kayle,MasterYi,Alistar,Ryze,Sion,Sivir,Soraka,Teemo,Tristana,Warwick,Nunu,MissFortune,Ashe,Tryndamere,Jax,Morgana,Zilean,Singed,Evelynn,Twitch,Karthus,Chogath,Amumu,Rammus,Anivia,Shaco,DrMundo,Sona,Kassadin,Irelia,Janna,Gangplank,Corki,Karma,Taric,Veigar,Trundle,Swain,Caitlyn,Blitzcrank,Malphite,Katarina,Nocturne,Maokai,Renekton,JarvanIV,Elise,Orianna,Wukong,Brand,LeeSin,Vayne,Rumble,Cassiopeia,Skarner,Heimerdinger,Nasus,Nidalee,Udyr,Poppy,Gragas,Pantheon,Ezreal,Mordekaiser,Yorick,Akali,Kennen,Garen,Leona,Malzahar,Talon,Riven,KogMaw,Shen,Lux,Xerath,Shyvana,Ahri,Graves,Fizz,Volibear,Rengar,Varus,Nautilus,Viktor,Sejuani,Fiora,Ziggs,Lulu,Draven,Hecarim,Khazix,Darius,Jayce,Lissandra,Diana,Quinn,Syndra,AurelionSol,Kayn,Zoe,Zyra,Kaisa,Seraphine,Gnar,Zac,Yasuo,Velkoz,Taliyah,Camille,Akshan,Belveth,Braum,Jhin,Kindred,Zeri,Jinx,TahmKench,Viego,Senna,Lucian,Zed,Kled,Ekko,Qiyana,Vi,Aatrox,Nami,Azir,Yuumi,Samira,Thresh,Illaoi,RekSai,Ivern,Kalista,Bard,Rakan,Xayah,Ornn,Sylas,Neeko,Aphelios,Rell,Pyke,Vex,Yone,Sett,Lillia,Gwen,RenataGlasc,Nilah,KSante,Milio,Date
1.0.0.119,7.143,0.0,0.0,64.286,0.0,0.0,0.0,50.0,0.0,0.0,0.0,42.857,0.0,0.0,0.0,3.571,0.0,0.0,10.714,32.143,0.0,7.143,0.0,0.0,0.0,17.857,7.143,0.0,0.0,10.714,0.0,28.571,0.0,17.857,0.0,0.0,10.714,0.0,10.714,3.571,0.0,17.857,0.0,10.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,42.857,75.0,0.0,0.0,0.0,0.0,53.571,0.0,0.0,10.714,0.0,0.0,7.143,0.0,21.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-01
1.0.0.132,0.0,0.0,7.407,0.0,0.0,0.0,14.815,3.704,0.0,0.0,0.0,0.0,33.333,0.0,3.704,11.111,0.0,0.0,0.0,18.519,0.0,0.0,14.815,0.0,29.63,0.0,0.0,0.0,0.0,70.37,0.0,0.0,77.778,0.0,18.519,0.0,11.111,29.63,7.407,0.0,11.111,0.0,0.0,0.0,3.704,0.0,0.0,0.0,0.0,0.0,0.0,7.407,11.111,0.0,0.0,0.0,0.0,0.0,0.0,11.111,7.407,3.704,48.148,14.815,0.0,0.0,7.407,0.0,0.0,11.111,0.0,0.0,0.0,11.111,0.0,29.63,0.0,0.0,0.0,0.0,7.407,0.0,0.0,0.0,0.0,3.704,7.407,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-17
1.0.0.133,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,16.667,0.0,100.0,0.0,16.667,0.0,33.333,50.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,16.667,16.667,0.0,16.667,33.333,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,0.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-01
1.0.0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-14
1.0.0.135,0.0,0.0,11.364,22.727,0.0,4.545,2.273,11.364,0.0,0.0,0.0,11.364,50.0,2.273,0.0,0.0,0.0,0.0,0.0,4.545,0.0,6.818,0.0,0.0,27.273,2.273,0.0,0.0,0.0,43.182,0.0,0.0,29.545,2.273,0.0,11.364,2.273,2.273,45.455,11.364,13.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091,13.636,0.0,0.0,0.0,2.273,0.0,0.0,11.364,0.0,2.273,47.727,0.0,0.0,0.0,11.364,22.727,0.0,0.0,0.0,0.0,6.818,2.273,2.273,20.455,0.0,0.0,0.0,0.0,4.545,4.545,70.455,0.0,0.0,40.909,6.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-29
1.0.0.136,5.0,5.0,5.0,25.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,20.0,10.0,10.0,5.0,45.0,10.0,15.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,40.0,5.0,10.0,15.0,5.0,0.0,0.0,35.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,35.0,0.0,5.0,0.0,5.0,0.0,5.0,90.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-03-20
1.0.0.138,0.0,0.0,0.0,0.0,0.0,22.222,0.0,11.111,0.0,0.0,0.0,33.333,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,0.0,22.222,0.0,0.0,11.111,0.0,0.0,0.0,0.0,44.444,0.0,0.0,22.222,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,0.0,0.0,0.0,77.778,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-04-18
1.0.0.139,0.0,13.333,6.667,26.667,0.0,26.667,0.0,20.0,0.0,0.0,0.0,0.0,13.333,0.0,0.0,13.333,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,6.667,0.0,0.0,0.0,0.0,6.667,0.0,6.667,0.0,6.667,0.0,26.667,0.0,33.333,0.0,26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.667,0.0,0.0,0.0,6.667,0.0,0.0,0.0,13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.667,0.0,0.0,0.0,0.0,0.0,0.0,86.667,0.0,0.0,0.0,26.667,13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-05-01
1.0.0.141,0.0,13.636,0.0,45.455,4.545,81.818,4.545,18.182,0.0,4.545,0.0,4.545,9.091,0.0,0.0,9.091,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,13.636,0.0,4.545,0.0,0.0,40.909,0.0,0.0,0.0,22.727,0.0,0.0,0.0,4.545,13.636,0.0,0.0,4.545,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,40.909,4.545,0.0,0.0,0.0,0.0,0.0,0.0,4.545,4.545,0.0,4.545,0.0,0.0,0.0,9.091,4.545,0.0,0.0,0.0,0.0,0.0,13.636,0.0,4.545,0.0,0.0,0.0,0.0,0.0,4.545,59.091,0.0,0.0,0.0,36.364,4.545,0.0,0.0,0.0,0.0,59.091,0.0,0.0,0.0,0.0,13.636,0.0,0.0,0.0,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-06-17
1.0.0.142,0.0,0.0,0.0,11.111,0.0,77.778,0.0,55.556,0.0,0.0,0.0,55.556,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.556,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,0.0,55.556,33.333,0.0,0.0,0.0,0.0,11.111,0.0,0.0,11.111,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-07-07
