patch,patch_games,top_5,top_10,top_20,median,Date
1.0.0.119,28.0,60.0,52.143,39.821,0.0,2011-06-01
1.0.0.132,27.0,54.074,45.926,35.37,0.0,2012-01-17
1.0.0.133,6.0,53.333,46.667,36.667,0.0,2012-02-01
1.0.0.134,2.0,90.0,70.0,50.0,0.0,2012-02-14
1.0.0.135,44.0,53.182,42.273,32.046,0.0,2012-02-29
1.0.0.136,20.0,57.0,45.0,33.75,0.0,2012-03-20
1.0.0.138,9.0,62.223,48.889,36.667,0.0,2012-04-18
1.0.0.139,15.0,61.333,48.0,38.0,0.0,2012-05-01
1.0.0.141,22.0,54.545,46.818,36.136,0.0,2012-06-17
1.0.0.142,9.0,66.667,54.444,40.0,0.0,2012-07-07
1.0.0.143,9.0,53.333,47.778,38.333,0.0,2012-07-19
1.0.0.144,8.0,57.5,51.25,39.375,0.0,2012-08-01
1.0.0.145,26.0,53.846,45.769,36.346,0.0,2012-08-14
1.0.0.146,5.0,76.0,62.0,44.0,0.0,2012-08-30
1.0.0.147,16.0,61.25,51.875,38.438,0.0,2012-09-12
1.0.0.148,66.0,53.939,42.879,31.97,0.0,2012-09-27
1.0.0.150,8.0,60.0,48.75,36.875,0.0,2012-10-25
1.0.0.151,117.0,47.692,40.684,32.778,0.0,2012-11-13
1.0.0.152,16.0,57.5,46.875,35.938,0.0,2012-12-04
1.0.0.153,67.0,48.358,43.134,33.134,0.0,2012-12-14
1.0.0.154,27.0,56.296,47.407,36.667,0.0,2013-01-16
3.01,19.0,54.737,46.316,34.737,0.0,2013-02-01
3.02,47.0,41.277,36.596,30.319,0.0,2013-02-13
3.03,94.0,43.192,38.936,32.128,0.0,2013-03-01
3.04,32.0,49.375,42.188,32.656,0.0,2013-03-19
3.5,76.0,48.421,44.21,34.21,0.0,2013-03-28
3.5 (Balance update),163.0,46.012,40.736,32.699,0.613,2013-04-09
3.6,95.0,48.842,41.579,33.0,0.0,2013-04-30
3.7,29.0,51.034,43.448,34.138,0.0,2013-05-15
3.8,147.0,45.034,40.0,32.551,0.0,2013-06-13
3.9,195.0,45.333,40.615,33.641,0.513,2013-07-09
3.10,131.0,48.702,42.366,33.321,0.763,2013-07-30
3.10a,56.0,55.0,46.786,36.696,0.0,2013-08-22
3.11,63.0,55.238,46.667,36.508,0.0,2013-09-04
3.12,29.0,57.931,48.621,38.621,0.0,2013-10-01
3.13,67.0,43.284,39.403,33.134,0.0,2013-10-29
3.14,151.0,45.43,39.801,31.921,0.662,2013-11-20
3.15,94.0,55.106,46.17,37.128,0.0,2013-12-13
4.1,86.0,51.163,46.163,35.814,0.0,2014-01-15
4.2,77.0,53.766,47.662,37.403,0.0,2014-02-10
4.3,180.0,54.444,47.0,37.0,0.556,2014-02-27
4.4,118.0,56.441,47.458,37.415,0.0,2014-03-18
4.5,151.0,47.417,41.192,33.808,0.0,2014-04-03
4.6,68.0,57.059,47.353,35.074,0.0,2014-04-21
4.7,43.0,66.046,53.023,38.605,0.0,2014-05-08
4.8,45.0,63.556,53.111,39.556,0.0,2014-05-22
4.9,54.0,58.519,49.444,37.13,0.0,2014-06-04
4.10,121.0,55.207,46.86,36.736,0.0,2014-06-18
4.11,109.0,53.028,46.147,35.367,0.0,2014-07-02
4.12,122.0,50.164,44.508,34.877,0.0,2014-07-16
4.13,103.0,48.35,42.039,34.612,0.0,2014-07-30
4.14,166.0,55.301,46.566,35.753,0.0,2014-08-13
4.15,28.0,64.286,52.857,38.572,0.0,2014-08-27
4.17,7.0,71.429,61.429,44.286,0.0,2014-09-25
4.18,15.0,68.0,55.333,41.667,0.0,2014-10-09
4.19,43.0,61.395,53.023,38.605,0.0,2014-11-05
4.20,40.0,62.5,51.0,36.375,0.0,2014-11-20
4.21,172.0,56.279,44.767,33.459,0.0,2014-12-10
5.1,212.0,53.491,42.547,34.151,0.472,2015-01-15
5.2,228.0,45.702,39.035,33.355,0.439,2015-01-28
5.3,215.0,48.837,42.233,34.07,0.0,2015-02-11
5.4,198.0,47.677,42.475,34.015,0.505,2015-02-25
5.5,219.0,43.105,38.219,30.753,0.457,2015-03-12
5.6,212.0,41.415,37.5,29.906,0.472,2015-03-25
5.7,198.0,45.354,41.01,33.005,0.505,2015-04-08
5.8,93.0,54.624,47.419,35.806,0.0,2015-04-28
5.9,228.0,52.895,47.237,35.899,0.0,2015-05-14
5.10,190.0,54.0,45.947,34.29,0.0,2015-05-28
5.11,253.0,51.383,43.874,34.368,0.395,2015-06-10
5.12,258.0,49.69,43.023,32.946,0.388,2015-06-24
5.13,257.0,51.051,43.891,33.541,0.389,2015-07-08
5.14,234.0,45.385,40.855,33.226,0.427,2015-07-22
5.15,199.0,48.141,42.211,32.864,0.503,2015-08-05
5.16,19.0,66.316,53.684,38.158,0.0,2015-08-20
5.18,73.0,47.397,42.877,33.425,0.0,2015-09-16
5.20,11.0,69.091,58.182,42.273,0.0,2015-10-14
5.21,77.0,52.987,44.675,35.065,0.0,2015-10-29
5.22,16.0,57.5,48.75,38.125,0.0,2015-11-11
5.23,17.0,68.235,54.118,40.0,0.0,2015-11-24
5.24,145.0,53.379,45.31,36.069,0.0,2015-12-09
6.1,255.0,57.333,48.824,36.882,0.392,2016-01-14
6.2,204.0,53.628,46.667,36.74,0.0,2016-01-28
6.3,259.0,52.896,46.293,35.174,0.386,2016-02-10
6.4,179.0,56.76,49.665,36.397,0.559,2016-02-24
6.5,251.0,56.414,50.598,38.685,0.398,2016-03-09
6.6,252.0,55.794,49.762,38.175,0.0,2016-03-23
6.7,64.0,59.063,50.469,39.141,0.0,2016-04-06
6.8,71.0,65.915,58.169,41.127,0.0,2016-04-20
6.10,282.0,56.028,49.681,38.298,0.355,2016-05-18
6.11,319.0,47.461,42.006,34.263,0.313,2016-06-01
6.12,371.0,48.248,41.887,34.016,0.539,2016-06-15
6.13,350.0,51.086,43.857,34.814,0.857,2016-06-29
6.14,278.0,47.698,41.87,34.64,0.36,2016-07-13
6.15,323.0,52.693,46.378,35.898,0.31,2016-07-26
6.16,79.0,50.633,44.937,36.329,0.0,2016-08-10
6.18,86.0,46.744,41.628,34.593,0.0,2016-09-08
6.21,105.0,57.143,48.762,37.238,0.0,2016-10-19
6.23,26.0,70.0,61.154,42.692,0.0,2016-11-22
7.1,373.0,54.048,46.434,36.086,0.268,2017-01-11
7.2,275.0,57.164,46.982,35.2,0.364,2017-01-25
7.3,201.0,54.328,43.234,32.811,0.498,2017-02-08
7.4,338.0,48.639,43.284,33.003,0.592,2017-02-23
7.5,331.0,46.223,40.876,33.837,0.604,2017-03-08
7.6,331.0,45.861,39.819,32.779,0.604,2017-03-22
7.7,39.0,54.872,45.385,35.385,0.0,2017-04-05
7.8,83.0,51.807,43.253,33.856,0.0,2017-04-19
7.9,25.0,53.6,46.4,35.6,0.0,2017-05-03
7.10,261.0,43.985,40.996,32.663,0.383,2017-05-17
7.11,316.0,44.431,40.317,32.642,0.316,2017-06-01
7.12,351.0,42.45,38.063,31.239,0.285,2017-06-14
7.13,277.0,47.003,41.191,32.708,0.361,2017-06-28
7.14,369.0,42.113,37.777,30.759,0.542,2017-07-12
7.15,256.0,47.578,39.531,31.973,0.781,2017-07-26
7.16,263.0,49.658,41.179,32.7,0.76,2017-08-09
7.17,31.0,61.29,48.71,36.452,0.0,2017-08-23
7.18,119.0,51.597,45.798,35.462,0.84,2017-09-13
7.21,14.0,57.143,47.857,38.571,0.0,2017-10-25
7.22,46.0,56.087,46.304,33.804,0.0,2017-11-08
7.24,73.0,50.411,45.068,36.438,0.0,2017-12-06
8.1,413.0,49.491,44.794,35.036,0.484,2018-01-10
8.2,270.0,46.889,39.482,32.648,0.741,2018-01-24
8.3,297.0,43.839,38.418,33.013,0.673,2018-02-07
8.4,353.0,41.813,38.584,32.224,0.85,2018-02-22
8.5,376.0,41.862,37.553,31.09,0.798,2018-03-07
8.6,187.0,42.139,37.38,31.578,0.535,2018-03-21
8.7,9.0,64.445,52.222,37.778,0.0,2018-04-04
8.8,107.0,45.233,38.785,31.168,0.935,2018-04-18
8.10,83.0,44.578,38.795,30.843,1.205,2018-05-16
8.11,293.0,36.519,33.584,29.386,1.024,2018-05-31
8.12,187.0,39.251,36.792,32.086,1.07,2018-06-13
8.13,588.0,38.571,34.643,28.716,1.19,2018-06-27
8.14,373.0,42.949,37.694,30.295,1.072,2018-07-18
8.15,296.0,42.77,36.25,28.581,1.351,2018-08-01
8.16,257.0,46.693,37.043,28.541,1.167,2018-08-15
8.17,54.0,41.852,37.222,30.556,0.0,2018-08-29
8.19,119.0,43.529,38.403,31.008,0.84,2018-09-26
8.23,19.0,54.737,47.368,36.842,0.0,2018-11-20
8.24,33.0,52.121,42.424,34.545,0.0,2018-12-05
8.24b,43.0,52.558,44.884,35.93,0.0,2018-12-18
9.1,305.0,48.59,41.213,33.18,0.656,2019-01-09
9.2,257.0,47.004,40.739,31.634,0.778,2019-01-24
9.3,264.0,42.5,37.879,30.511,1.136,2019-02-06
9.4,277.0,43.538,36.968,30.289,1.083,2019-02-21
9.5,300.0,46.333,37.333,29.183,1.667,2019-03-06
9.6,241.0,46.39,36.681,27.676,1.66,2019-03-20
9.7,35.0,41.143,36.286,29.143,0.0,2019-04-03
9.8,79.0,44.051,40.38,31.456,0.0,2019-04-17
9.10,71.0,51.549,43.098,33.662,1.408,2019-05-14
9.11,258.0,41.705,36.279,29.768,0.775,2019-05-30
9.12,244.0,38.689,34.672,28.811,0.82,2019-06-12
9.13,402.0,37.91,34.652,28.532,0.995,2019-06-26
9.14,324.0,41.728,37.037,29.753,0.926,2019-07-17
9.15,295.0,44.339,37.932,30.17,1.017,2019-07-31
9.16,205.0,42.829,37.171,28.756,1.463,2019-08-14
9.17,5.0,72.0,58.0,39.0,0.0,2019-08-28
9.18,9.0,55.556,50.0,38.333,0.0,2019-09-11
9.19,120.0,47.833,39.5,30.083,0.833,2019-09-25
9.22,30.0,48.0,39.333,31.0,0.0,2019-11-06
9.23,90.0,48.667,41.0,32.944,0.0,2019-11-20
9.24b,46.0,53.044,43.478,34.565,0.0,2019-12-18
10.1,77.0,49.87,43.117,33.896,0.0,2020-01-08
10.2,192.0,45.0,39.792,31.927,1.042,2020-01-23
10.3,194.0,44.021,37.68,29.562,1.031,2020-02-05
10.4,259.0,41.467,36.1,29.401,1.158,2020-02-20
10.5,276.0,40.217,35.181,28.388,1.087,2020-03-04
10.6,381.0,39.055,36.194,30.158,1.312,2020-03-18
10.7,224.0,42.054,36.83,29.442,1.339,2020-04-01
10.8,65.0,42.769,37.231,29.923,1.538,2020-04-15
10.9,19.0,51.579,42.632,33.421,0.0,2020-04-29
10.10,45.0,44.0,37.778,31.111,0.0,2020-05-13
10.11,192.0,49.896,41.406,32.135,1.042,2020-05-28
10.12,294.0,45.918,38.503,30.459,1.02,2020-06-10
10.13,304.0,42.369,36.678,30.099,1.316,2020-06-24
10.14,304.0,40.263,35.625,28.717,1.316,2020-07-08
10.15,272.0,41.176,34.449,28.199,1.471,2020-07-22
10.16,346.0,40.404,35.087,29.09,1.445,2020-08-05
10.17,2.0,80.0,65.0,50.0,0.0,2020-08-19
10.19,166.0,45.783,38.614,31.024,0.602,2020-09-16
10.20,28.0,40.0,35.714,28.393,0.0,2020-09-30
