patch,Annie,Olaf,Galio,TwistedFate,XinZhao,Urgot,Leblanc,Vladimir,Fiddlesticks,Kayle,MasterYi,Alistar,Ryze,Sion,Sivir,Soraka,Teemo,Tristana,Warwick,Nunu,MissFortune,Ashe,Tryndamere,Jax,Morgana,Zilean,Singed,Evelynn,Twitch,Karthus,Chogath,Amumu,Rammus,Anivia,Shaco,DrMundo,Sona,Kassadin,Irelia,Janna,Gangplank,Corki,Karma,Taric,Veigar,Trundle,Swain,Caitlyn,Blitzcrank,Malphite,Katarina,Nocturne,Maokai,Renekton,JarvanIV,Elise,Orianna,Wukong,Brand,LeeSin,Vayne,Rumble,Cassiopeia,Skarner,Heimerdinger,Nasus,Nidalee,Udyr,Poppy,Gragas,Pantheon,Ezreal,Mordekaiser,Yorick,Akali,Kennen,Garen,Leona,Malzahar,Talon,Riven,KogMaw,Shen,Lux,Xerath,Shyvana,Ahri,Graves,Fizz,Volibear,Rengar,Varus,Nautilus,Viktor,Sejuani,Fiora,Ziggs,Lulu,Draven,Hecarim,Khazix,Darius,Jayce,Lissandra,Diana,Quinn,Syndra,AurelionSol,Kayn,Zoe,Zyra,Kaisa,Seraphine,Gnar,Zac,Yasuo,Velkoz,Taliyah,Camille,Akshan,Belveth,Braum,Jhin,Kindred,Zeri,Jinx,TahmKench,Viego,Senna,Lucian,Zed,Kled,Ekko,Qiyana,Vi,Aatrox,Nami,Azir,Yuumi,Samira,Thresh,Illaoi,RekSai,Ivern,Kalista,Bard,Rakan,Xayah,Ornn,Sylas,Neeko,Aphelios,Rell,Pyke,Vex,Yone,Sett,Lillia,Gwen,RenataGlasc,Nilah,KSante,Milio,Date
1.0.0.119,35.714,0.0,0.0,78.571,0.0,3.571,0.0,78.571,0.0,0.0,0.0,89.286,0.0,3.571,0.0,28.571,7.143,10.714,50.0,96.429,28.571,67.857,0.0,0.0,0.0,25.0,21.429,0.0,0.0,32.143,10.714,64.286,3.571,50.0,0.0,3.571,64.286,3.571,25.0,67.857,3.571,71.429,0.0,46.429,0.0,10.714,17.857,14.286,3.571,0.0,0.0,25.0,0.0,0.0,71.429,0.0,0.0,0.0,28.571,7.143,71.429,82.143,0.0,0.0,0.0,0.0,67.857,0.0,3.571,25.0,0.0,0.0,10.714,0.0,25.0,0.0,3.571,0.0,57.143,0.0,0.0,0.0,0.0,3.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-01
1.0.0.132,0.0,0.0,18.519,0.0,0.0,0.0,22.222,7.407,0.0,0.0,0.0,14.815,55.556,7.407,59.259,44.444,7.407,7.407,0.0,48.148,11.111,0.0,29.63,0.0,66.667,0.0,0.0,0.0,0.0,85.185,0.0,0.0,96.296,3.704,29.63,0.0,77.778,40.741,62.963,14.815,37.037,14.815,0.0,37.037,11.111,0.0,14.815,3.704,0.0,0.0,0.0,7.407,48.148,3.704,7.407,0.0,0.0,3.704,11.111,55.556,37.037,14.815,74.074,59.259,0.0,0.0,14.815,14.815,0.0,18.519,7.407,0.0,11.111,14.815,3.704,59.259,0.0,7.407,0.0,0.0,25.926,18.519,0.0,0.0,7.407,33.333,11.111,77.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-17
1.0.0.133,0.0,0.0,0.0,50.0,0.0,16.667,0.0,0.0,0.0,0.0,0.0,16.667,83.333,16.667,50.0,50.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,66.667,16.667,0.0,0.0,0.0,33.333,16.667,0.0,100.0,0.0,16.667,0.0,100.0,50.0,33.333,16.667,50.0,16.667,0.0,33.333,16.667,0.0,33.333,0.0,16.667,16.667,0.0,16.667,66.667,16.667,16.667,0.0,0.0,0.0,0.0,50.0,50.0,0.0,66.667,83.333,0.0,0.0,66.667,16.667,0.0,0.0,0.0,16.667,0.0,50.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,16.667,0.0,0.0,0.0,0.0,33.333,50.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-01
1.0.0.134,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-14
1.0.0.135,0.0,2.273,29.545,31.818,0.0,13.636,2.273,25.0,2.273,0.0,0.0,40.909,70.455,4.545,6.818,9.091,0.0,6.818,4.545,27.273,6.818,27.273,6.818,0.0,59.091,4.545,2.273,0.0,0.0,56.818,4.545,2.273,31.818,6.818,0.0,36.364,22.727,2.273,79.545,93.182,18.182,52.273,0.0,15.909,4.545,2.273,6.818,9.091,9.091,2.273,0.0,27.273,29.545,4.545,0.0,0.0,9.091,20.455,9.091,56.818,13.636,2.273,65.909,4.545,0.0,0.0,18.182,59.091,0.0,2.273,0.0,25.0,15.909,6.818,4.545,40.909,0.0,13.636,2.273,4.545,20.455,38.636,97.727,0.0,0.0,90.909,31.818,18.182,4.545,2.273,0.0,0.0,13.636,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-29
1.0.0.136,5.0,25.0,20.0,25.0,0.0,15.0,5.0,35.0,0.0,0.0,0.0,75.0,60.0,0.0,10.0,25.0,0.0,0.0,5.0,0.0,0.0,30.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,20.0,30.0,10.0,30.0,20.0,45.0,20.0,95.0,5.0,55.0,0.0,0.0,20.0,0.0,15.0,15.0,0.0,10.0,0.0,10.0,25.0,5.0,25.0,0.0,5.0,15.0,5.0,75.0,15.0,20.0,35.0,35.0,0.0,0.0,40.0,20.0,0.0,0.0,10.0,25.0,10.0,5.0,0.0,65.0,0.0,15.0,0.0,5.0,15.0,15.0,95.0,0.0,5.0,45.0,60.0,65.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-03-20
1.0.0.138,0.0,55.556,22.222,22.222,0.0,100.0,0.0,11.111,0.0,0.0,0.0,66.667,44.444,0.0,11.111,22.222,0.0,0.0,11.111,0.0,0.0,22.222,0.0,0.0,33.333,0.0,0.0,0.0,0.0,11.111,11.111,0.0,0.0,66.667,0.0,55.556,44.444,66.667,0.0,66.667,0.0,11.111,0.0,22.222,0.0,0.0,0.0,22.222,0.0,0.0,0.0,55.556,22.222,11.111,44.444,0.0,0.0,11.111,0.0,44.444,11.111,33.333,44.444,22.222,0.0,0.0,44.444,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.778,0.0,0.0,0.0,11.111,11.111,11.111,100.0,0.0,0.0,11.111,33.333,55.556,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,44.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-04-18
1.0.0.139,0.0,46.667,13.333,33.333,0.0,40.0,0.0,53.333,0.0,0.0,0.0,26.667,66.667,0.0,46.667,80.0,0.0,0.0,6.667,0.0,0.0,20.0,0.0,13.333,26.667,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,26.667,0.0,60.0,33.333,46.667,0.0,53.333,0.0,33.333,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,0.0,0.0,33.333,0.0,6.667,13.333,0.0,46.667,0.0,26.667,0.0,13.333,0.0,0.0,0.0,20.0,0.0,0.0,0.0,13.333,0.0,6.667,0.0,80.0,0.0,6.667,0.0,0.0,0.0,13.333,100.0,0.0,0.0,40.0,80.0,100.0,0.0,0.0,0.0,6.667,13.333,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-05-01
1.0.0.141,0.0,18.182,4.545,68.182,4.545,100.0,4.545,40.909,0.0,13.636,0.0,27.273,27.273,0.0,0.0,54.545,0.0,22.727,4.545,36.364,4.545,18.182,0.0,22.727,36.364,0.0,13.636,0.0,0.0,95.455,0.0,0.0,0.0,50.0,4.545,13.636,4.545,9.091,72.727,27.273,0.0,36.364,0.0,50.0,0.0,0.0,0.0,0.0,4.545,13.636,0.0,81.818,45.455,9.091,9.091,0.0,0.0,0.0,0.0,13.636,9.091,0.0,13.636,0.0,0.0,0.0,22.727,9.091,0.0,0.0,0.0,4.545,0.0,36.364,0.0,9.091,0.0,13.636,0.0,0.0,0.0,40.909,100.0,0.0,0.0,4.545,63.636,68.182,0.0,0.0,0.0,0.0,86.364,0.0,0.0,0.0,0.0,27.273,0.0,0.0,0.0,22.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-06-17
1.0.0.142,0.0,0.0,0.0,11.111,0.0,100.0,0.0,88.889,0.0,11.111,0.0,100.0,66.667,0.0,22.222,77.778,0.0,0.0,0.0,11.111,0.0,0.0,0.0,11.111,0.0,0.0,11.111,0.0,0.0,100.0,0.0,0.0,0.0,88.889,0.0,44.444,0.0,0.0,55.556,11.111,0.0,44.444,0.0,22.222,0.0,11.111,0.0,11.111,22.222,55.556,0.0,88.889,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,33.333,0.0,33.333,0.0,0.0,11.111,11.111,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,11.111,0.0,0.0,0.0,0.0,88.889,0.0,0.0,22.222,66.667,100.0,0.0,0.0,0.0,0.0,44.444,0.0,0.0,11.111,11.111,11.111,22.222,0.0,0.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-07-07
