patch,patch_games,top_5,top_10,top_20,median,Date
1.0.0.119,28.0,85.0,77.5,63.571,0.0,2011-06-01
1.0.0.132,27.0,82.222,71.852,57.778,0.0,2012-01-17
1.0.0.133,6.0,86.667,73.333,59.167,0.0,2012-02-01
1.0.0.134,2.0,100.0,100.0,77.5,0.0,2012-02-14
1.0.0.135,44.0,86.364,72.954,54.659,0.0,2012-02-29
1.0.0.136,20.0,81.0,69.0,51.75,0.0,2012-03-20
1.0.0.138,9.0,82.222,71.111,57.222,0.0,2012-04-18
1.0.0.139,15.0,88.0,74.0,57.333,0.0,2012-05-01
1.0.0.141,22.0,92.727,79.091,59.546,0.0,2012-06-17
1.0.0.142,9.0,97.778,90.0,66.111,0.0,2012-07-07
1.0.0.143,9.0,93.333,82.222,63.889,0.0,2012-07-19
1.0.0.144,8.0,95.0,83.75,64.375,0.0,2012-08-01
1.0.0.145,26.0,84.615,72.692,57.885,0.0,2012-08-14
1.0.0.146,5.0,104.0,90.0,66.0,0.0,2012-08-30
1.0.0.147,16.0,87.5,76.25,60.0,0.0,2012-09-12
1.0.0.148,66.0,79.091,67.727,53.258,0.0,2012-09-27
1.0.0.150,8.0,80.0,71.25,56.25,0.0,2012-10-25
1.0.0.151,117.0,74.359,67.521,54.744,0.0,2012-11-13
1.0.0.152,16.0,90.0,77.5,60.938,0.0,2012-12-04
1.0.0.153,67.0,78.209,70.746,53.284,0.0,2012-12-14
1.0.0.154,27.0,94.074,80.0,62.037,0.0,2013-01-16
3.01,19.0,86.316,73.158,55.79,0.0,2013-02-01
3.02,47.0,76.596,66.17,50.745,0.0,2013-02-13
3.03,94.0,72.979,62.66,51.915,0.0,2013-03-01
3.04,32.0,61.875,56.562,45.156,0.0,2013-03-19
3.5,76.0,65.789,59.737,48.816,0.0,2013-03-28
3.5 (Balance update),163.0,74.356,64.356,50.521,0.613,2013-04-09
3.6,95.0,69.474,63.368,48.684,0.0,2013-04-30
3.7,29.0,75.862,66.552,51.552,0.0,2013-05-15
3.8,147.0,72.789,60.612,49.524,0.0,2013-06-13
3.9,195.0,66.256,56.974,48.795,0.513,2013-07-09
3.10,131.0,75.573,67.176,52.977,0.763,2013-07-30
3.10a,56.0,78.929,71.429,57.232,0.0,2013-08-22
3.11,63.0,89.841,78.73,60.873,0.0,2013-09-04
3.12,29.0,86.207,76.552,61.896,0.0,2013-10-01
3.13,67.0,72.239,63.582,53.209,0.0,2013-10-29
3.14,151.0,77.218,66.954,51.788,0.662,2013-11-20
3.15,94.0,81.915,75.958,60.106,0.0,2013-12-13
4.1,86.0,88.372,74.186,60.523,0.0,2014-01-15
4.2,77.0,85.454,74.156,61.883,0.0,2014-02-10
4.3,180.0,87.0,76.5,62.389,0.556,2014-02-27
4.4,118.0,87.458,78.136,61.271,0.0,2014-03-18
4.5,151.0,80.927,73.51,57.848,0.0,2014-04-03
4.6,68.0,88.823,76.029,58.456,0.0,2014-04-21
4.7,43.0,93.953,85.349,64.651,0.0,2014-05-08
4.8,45.0,91.555,82.889,65.222,0.0,2014-05-22
4.9,54.0,88.889,80.37,63.148,0.0,2014-06-04
4.10,121.0,92.892,80.083,61.57,0.0,2014-06-18
4.11,109.0,85.872,75.413,59.954,0.0,2014-07-02
4.12,122.0,83.279,72.869,56.598,0.0,2014-07-16
4.13,103.0,77.476,69.126,55.631,0.0,2014-07-30
4.14,166.0,85.181,75.12,57.922,0.0,2014-08-13
4.15,28.0,92.857,78.214,61.25,0.0,2014-08-27
4.17,7.0,100.0,87.143,68.571,0.0,2014-09-25
4.18,15.0,97.333,88.667,67.667,0.0,2014-10-09
4.19,43.0,83.256,76.977,64.07,0.0,2014-11-05
4.20,40.0,88.0,78.0,60.75,0.0,2014-11-20
4.21,172.0,80.581,70.756,55.262,0.581,2014-12-10
5.1,212.0,87.264,76.604,57.665,0.472,2015-01-15
5.2,228.0,83.86,71.228,57.412,0.439,2015-01-28
5.3,215.0,76.0,65.442,55.721,0.465,2015-02-11
5.4,198.0,71.212,63.889,53.99,0.505,2015-02-25
5.5,219.0,71.781,62.329,51.301,0.457,2015-03-12
