patch,1st,2nd,3rd,4th,5th
1.0.0.119,Nunu,Alistar,Rumble,Vladimir,TwistedFate
1.0.0.132,Rammus,Karthus,Graves,Sona,Cassiopeia
1.0.0.133,Rammus,Sona,Skarner,Ryze,Cassiopeia
1.0.0.134,Maokai,Kennen,Vayne,Janna,Cassiopeia
1.0.0.135,Shen,Janna,Shyvana,Irelia,Ryze
1.0.0.136,Shen,Janna,Alistar,LeeSin,Kennen
1.0.0.138,Shen,Urgot,Kennen,Kassadin,Anivia
1.0.0.139,Graves,Shen,Kennen,Soraka,Ahri
1.0.0.141,Shen,Urgot,Karthus,Nautilus,Nocturne
1.0.0.142,Karthus,Urgot,Graves,Alistar,Nocturne
1.0.0.143,Shen,Alistar,Karthus,Urgot,Nocturne
1.0.0.144,Shen,Rumble,Alistar,Nocturne,Urgot
1.0.0.145,Alistar,Shen,Nunu,Gragas,Ezreal
1.0.0.146,Ezreal,Malphite,Diana,Shen,Alistar
1.0.0.147,Shen,Orianna,Vladimir,Diana,Sona
1.0.0.148,Ezreal,Jayce,Sona,Shen,Orianna
1.0.0.150,Ezreal,Sona,Jayce,TwistedFate,Zyra
1.0.0.151,LeeSin,Diana,Olaf,Rengar,Zyra
1.0.0.152,Rengar,Olaf,Chogath,TwistedFate,Diana
1.0.0.153,Evelynn,Rengar,Shen,Olaf,LeeSin
1.0.0.154,Khazix,Evelynn,Olaf,Shen,MissFortune
3.01,Olaf,XinZhao,Shen,Nunu,Lulu
3.02,Kayle,XinZhao,Nidalee,Vi,JarvanIV
3.03,Kayle,XinZhao,Thresh,Shen,Elise
3.04,Thresh,Elise,JarvanIV,Renekton,Zed
3.5,Thresh,Shen,Elise,JarvanIV,Varus
3.5 (Balance update),Thresh,Shen,TwistedFate,JarvanIV,Elise
3.6,TwistedFate,Sona,Shen,Thresh,Elise
3.7,Jayce,Elise,TwistedFate,Khazix,Kennen
3.8,Thresh,Jayce,Elise,TwistedFate,Kennen
3.9,Thresh,Elise,Shen,JarvanIV,TwistedFate
3.10,Shen,Thresh,Zac,Elise,JarvanIV
3.10a,Zac,Shen,Zed,Thresh,JarvanIV
3.11,Zed,Shen,Corki,Ahri,Elise
3.12,Zed,Elise,Renekton,Corki,Caitlyn
3.13,Elise,Renekton,Nidalee,Annie,Gragas
3.14,Elise,Shyvana,Annie,Lucian,Renekton
3.15,Shyvana,Kassadin,Elise,Thresh,Lucian
4.1,Kassadin,Elise,Thresh,Annie,Gragas
4.2,Elise,Kassadin,Thresh,Gragas,Lucian
4.3,Elise,Thresh,Lulu,Kassadin,Renekton
4.4,Lulu,Khazix,Renekton,Thresh,LeeSin
4.5,Khazix,Lulu,Lucian,Thresh,Ziggs
4.6,Thresh,Khazix,Jax,LeeSin,Leblanc
4.7,Twitch,Jax,LeeSin,Kassadin,Thresh
4.8,Kassadin,LeeSin,Thresh,Jax,Lucian
4.9,Kassadin,LeeSin,Lucian,Thresh,Lulu
