patch,top_5,top_10,top_20,median,Date
1.0.0.119,100.0,85.468,70.073,50.0,2011-06-01
1.0.0.132,96.0,86.278,74.193,50.0,2012-01-17
1.0.0.133,100.0,100.0,82.083,100.0,2012-02-01
1.0.0.134,100.0,87.5,87.5,100.0,2012-02-14
1.0.0.135,100.0,93.333,80.927,50.0,2012-02-29
1.0.0.136,100.0,100.0,86.024,50.0,2012-03-20
1.0.0.138,100.0,96.667,75.857,50.0,2012-04-18
1.0.0.139,100.0,88.833,74.527,64.584,2012-05-01
1.0.0.141,100.0,92.664,74.068,50.0,2012-06-17
1.0.0.142,100.0,100.0,80.548,75.0,2012-07-07
1.0.0.143,100.0,95.5,74.917,60.0,2012-07-19
1.0.0.144,100.0,100.0,80.833,75.0,2012-08-01
1.0.0.145,96.0,83.833,70.017,50.0,2012-08-14
1.0.0.146,100.0,96.667,76.961,100.0,2012-08-30
1.0.0.147,100.0,95.714,77.286,53.846,2012-09-12
1.0.0.148,100.0,90.071,76.349,50.0,2012-09-27
1.0.0.150,100.0,100.0,80.417,66.667,2012-10-25
1.0.0.151,100.0,92.643,77.927,50.0,2012-11-13
1.0.0.152,100.0,86.587,74.002,61.25,2012-12-04
1.0.0.153,100.0,95.647,81.3,50.0,2012-12-14
1.0.0.154,100.0,89.643,76.025,50.0,2013-01-16
3.01,100.0,100.0,86.349,50.0,2013-02-01
3.02,100.0,98.333,85.092,54.772,2013-02-13
3.03,96.667,83.452,72.856,50.0,2013-03-01
3.04,100.0,100.0,82.429,53.394,2013-03-19
3.5,100.0,100.0,84.861,53.743,2013-03-28
3.5 (Balance update),100.0,100.0,90.03,50.0,2013-04-09
3.6,100.0,95.0,79.862,50.0,2013-04-30
3.7,100.0,97.222,80.291,54.545,2013-05-15
3.8,100.0,95.175,78.799,52.982,2013-06-13
3.9,100.0,86.949,74.841,50.0,2013-07-09
3.10,100.0,88.143,75.911,50.0,2013-07-30
3.10a,100.0,90.833,76.697,50.0,2013-08-22
3.11,100.0,97.5,81.97,50.0,2013-09-04
3.12,100.0,100.0,85.507,55.556,2013-10-01
3.13,100.0,86.0,74.289,50.0,2013-10-29
3.14,100.0,85.344,74.381,50.0,2013-11-20
3.15,100.0,95.278,81.782,53.125,2013-12-13
4.1,100.0,85.725,75.049,50.0,2014-01-15
4.2,100.0,100.0,86.042,50.0,2014-02-10
4.3,100.0,100.0,85.974,51.351,2014-02-27
4.4,100.0,95.0,79.719,51.22,2014-03-18
4.5,100.0,87.286,76.039,50.0,2014-04-03
4.6,100.0,91.0,76.997,50.0,2014-04-21
4.7,82.821,71.685,62.381,50.0,2014-05-08
4.8,100.0,85.949,70.955,50.758,2014-05-22
